"Gene_name"	"replicate1_timepoint1"	"replicate1_timepoint2"	"replicate1_timepoint3"	"replicate1_timepoint4"	"replicate2_timepoint1"	"replicate2_timepoint2"	"replicate2_timepoint3"	"replicate2_timepoint4"	"replicate3_timepoint1"	"replicate3_timepoint2"	"replicate3_timepoint3"	"replicate3_timepoint4"
VNG1901C	1009.394543	461.0908605	427.7346636	578.7785264	921.5301974	578.6696773	332.0630105	459.9910767	731.7928819	498.9196108	325.5119256	500.6277752
VNG1902H	20.11579956	23.12681432	37.10839741	10.92396556	17.4417787	18.12496379	28.48169111	15.56026516	13.41792308	17.02797307	31.75726104	14.34305472
VNG1903Cm	375.2236137	322.0408894	928.1490879	1232.108327	370.3974579	304.861891	924.4821855	958.0677548	333.3837812	289.4755421	997.1779966	820.3123986
VNG1904H	30.58066638	19.07962181	78.60832114	121.1218638	29.11541011	19.5749609	83.26706165	117.3688572	31.17086747	20.8265209	75.53691376	105.3662866
VNG1905C	281.1560886	197.3488155	157.2166423	172.8669639	279.6178065	204.0870923	164.523651	224.5123973	287.9692723	232.628309	136.78306	223.144832
VNG1906H	125.4621256	96.26536461	70.26442113	109.0480071	127.4485877	92.79981462	70.36653098	84.61820387	82.15897517	95.09468035	80.52734049	85.78250033
VNG1907H	290.2256399	137.4118218	128.2325686	255.0841784	387.4272261	165.541336	84.77491589	155.3062656	262.7848628	192.1541268	137.2367352	239.1428546
VNG1910H	437.6639857	275.2090904	91.12417115	146.9944138	371.4961526	226.1995481	113.0890676	123.4447703	389.3261989	252.537939	144.4955377	130.7424603
VNG1911G	762.3074098	622.7858373	738.6547271	544.0901445	766.6142417	670.9861596	774.8695375	554.2418257	745.4172346	660.9473238	809.1296437	546.6910471
VNG1912G	877.3046685	964.0027103	598.3454612	969.549856	894.6121767	854.8941255	870.8695905	931.8375936	943.7960666	1020.106571	645.806587	959.6055262
VNG1914G	770.0979218	793.3460929	719.5515876	550.2228971	739.696221	753.8776607	939.0581098	552.9080887	747.4815304	770.7122579	980.1651782	530.6930245
VNG1916H	609.055249	608.3315784	436.7372926	392.6878148	621.998549	626.3987487	610.8485046	379.3740839	641.3767233	644.4432884	631.2889819	468.3559021
VNG1917H	87.32349981	64.94780355	108.9098528	70.71830339	94.0757355	70.44569261	87.12046692	77.06036079	90.00329944	81.60328631	106.3868245	63.7162623
VNG1918C	206.5067053	107.2506014	136.5764686	66.50203598	196.8036919	121.5580905	54.11521311	55.57237557	137.2756746	107.8001679	60.79247113	73.09441346
VNG1919H	6.744025285	3.854469053	10.9788158	2.87472778	7.141515688	4.95415677	3.853405268	6.520492067	4.335021303	7.859064492	3.402563683	7.723183309
VNG1920H	50.58018964	28.42670927	36.23009214	42.54597115	48.34256773	37.4582585	23.28797097	41.93861943	39.01519173	33.40102409	23.36427062	49.92486353
VNG1921H	8.953274947	6.359873938	17.56610528	7.857589266	7.965536729	7.370818609	4.691102065	9.336159096	7.637894677	9.561861799	4.536751577	10.75729104
VNG1922G	36.39448128	83.73834019	848.4428851	2961.736208	43.81045201	118.8997625	617.3825396	2667.62222	40.04733966	90.24825725	1151.42755	3162.919393
VNG1924G	133.4851901	204.575945	1222.381351	4920.575717	136.6501559	223.7828863	1107.602705	5125.995923	142.8492734	227.2579482	1902.259936	5269.693469
VNG1925H	21.74366773	62.73148385	419.6103399	2373.758552	32.27415744	72.98318754	505.2987082	2115.010518	22.91368403	48.20226222	604.29531	2533.204125
VNG1926G	1743.446812	1871.826534	510.0757821	229.4032769	1619.064009	1645.505046	901.6968326	232.9593984	1511.477428	1650.665512	675.2954722	176.8057322
VNG1927H	72.09130477	49.24084216	35.79093951	54.42817931	65.92168327	40.4790858	37.02619844	46.53260248	62.7545941	44.01076116	34.93298714	45.51161593
VNG1929G	364.6424706	212.0921597	82.99984746	22.99782224	344.1661214	195.2662766	37.86389524	19.7096692	286.5242652	204.5976456	37.88187567	33.92684096
VNG1932G	384.6419938	455.7909656	513.3694269	413.5775033	408.8517731	540.6072534	419.3510167	418.0524573	406.253425	540.3106838	354.0934606	540.3470037
VNG1933G	4196.411595	5443.281197	7297.83844	8072.427255	5381.406744	5983.413047	7591.040838	6765.01052	4309.630464	4811.84322	6784.711983	7292.064184
VNG1934H	2510.986656	3262.133522	3034.98384	3455.997737	2836.143086	2966.694073	4134.033695	3254.021927	2545.276794	2695.397152	3276.895664	3200.15617
VNG1935C	278.4817338	329.6534658	217.8197055	140.0950672	284.4245959	287.824425	339.769821	155.6026516	261.7527149	306.6344996	231.3743304	128.5358365
VNG1937C	205.9253238	169.2111914	131.5262133	114.0308686	199.0010814	169.0454956	140.5655226	120.4809102	171.3365563	176.174029	103.437936	112.8136419
VNG1938C	149.6475955	85.76193644	312.8962503	135.8787997	162.6068187	108.6289497	80.5864319	122.7038053	137.8949634	112.9085599	130.6584454	156.118634
VNG1939G	456.2681934	1616.564321	419.3907636	507.8685745	412.6972046	1587.625995	566.4505744	420.2753523	510.2939363	654.5290878	443.9211418	382.8492297
VNG1940H	122.4389418	417.9208071	121.4257028	142.3948494	126.7619035	467.0199004	192.8378027	142.2652815	137.2756746	186.1288441	139.7319486	126.8808686
VNG1941C	967.7676284	1149.017225	569.8005401	529.5248571	980.5850387	1285.905765	644.6914552	485.33208	909.3223257	830.0481948	597.7170203	505.0410228
VNG1942H	595.9160273	1328.731844	880.0618746	1254.339555	578.4627707	1426.43465	1664.168458	1446.363695	686.378373	947.1482557	1685.176373	1205.092424
VNG1943H	82.0910664	238.2061875	89.14798431	119.7803242	71.41515688	226.1995481	161.6754819	110.7001721	91.44830654	126.0070007	168.9939962	99.84972707
