"ID"	"Pexp"	"PS"	"C"	"Sexp"	"Sstat"	"baseMean"	"baseMeanA_Pexp"	"baseMeanB_PS"	"foldChange"	"log2FoldChange"	"pval"	"padj"
TK0161	29.5	29.07142857	117.25	21.83333333	13.33333333	25.23283424	37.03288802	13.43278045	0.362725706	-1.463049104	0.468018414	1
TK0162	15	10.07142857	17.28333333	6.75	2.25	11.57421864	18.51644401	4.631993259	0.250155659	-1.999102004	0.365611302	1
TK0163	15	26.58333333	63.66666667	12	11.14285714	15.51141291	18.51644401	12.5063818	0.67542028	-0.566142597	0.788162326	1
TK0164	57	105.875	107.0714286	56.75	13.83333333	59.7308079	70.36248724	49.09912855	0.697802629	-0.519109063	0.772377922	1
TK0165	143	506.2261905	646.4047619	388.8333333	30	205.4511459	176.5234329	234.3788589	1.327749269	0.408982735	0.866171629	1
TK0166	1198	2186.5	342.3333333	497.9166667	297	1245.700194	1478.846662	1012.553726	0.684691491	-0.54647401	0.749676349	1
TK0167	23	49.85833333	148.7261905	47.25	6	25.77592356	28.39188082	23.1599663	0.815724976	-0.29384527	0.87583176	1
TK0168	2.5	119	2379.833333	363.5	1	28.79478949	2.468859202	55.12071979	22.32639259	4.48067826	0.061138252	1
TK0169	10.78571429	151.9285714	3653.904762	243.5	4	41.99251158	13.57872561	70.40629754	5.185044574	2.374356392	0.260184806	1
TK0170	37.5	173	714.5	48	1.25	63.52090411	46.90832483	80.13348339	1.708299831	0.772561211	0.73012213	1
TK0171	47.5	118.5	309.0527778	73	3	56.95507065	59.25262084	54.65752046	0.922448994	-0.116458955	0.932420866	1
TK0172	44	54.33333333	731.5	54.36666667	3.166666667	39.66383302	54.31490243	25.0127636	0.460513827	-1.11868362	0.563896415	1
TK0173	582.5	917.25	1880.340909	683.3333333	15	571.5959048	718.4380277	424.7537819	0.591218401	-0.758236923	0.67097467	1
TK0174	5	34.5	311.3333333	39.58333333	1.666666667	10.96046254	6.172148004	15.74877708	2.551587725	1.351395243	0.597684149	1
TK0175	15.5	34.64285714	171.2	21.25	1	17.98142501	19.75087361	16.21197641	0.820823257	-0.284856486	0.890704324	1
TK0176	27.5	80.5	222	55.5	0	35.80998745	34.56402882	37.05594607	1.072095683	0.10043367	1	1
TK0177	97.5	233.25	522.5	124.5	9.5	114.4497719	120.9741009	107.9254429	0.892136764	-0.164663203	0.906811399	1
TK0178	27	96.25757576	700.7039683	61.5	7.5	38.89836726	33.32959922	44.46713529	1.334163516	0.415935495	0.878734057	1
TK0179	52	61.5	878.8083333	117.75	5	46.45434872	64.19033924	28.71835821	0.447393775	-1.160382911	0.547323946	1
TK0180	30.75	33.44285714	1289.142857	54.775	31	26.77644769	38.26731762	15.28557776	0.399442101	-1.323941694	0.506989578	1
TK0181	14	38.61111111	649.8666667	34.28571429	9.5	17.67339406	17.28201441	18.06477371	1.045293291	0.063907794	1	1
TK0182	114	174.8333333	479.2039683	160.0833333	4.366666667	110.8924283	140.7249745	81.05988204	0.576016321	-0.795818406	0.663167712	1
TK0183	120.3333333	272.625	828.25	208.5	7	137.292484	148.1315521	126.453416	0.853656187	-0.228272958	0.880063481	1
TK0184	72.72222222	118.6083333	763.9083333	83.14285714	6	72.61704032	90.11336086	55.12071979	0.611681989	-0.709146299	0.698430345	1
TK0185	28	176.1666667	333.9	94.2	7	58.04355509	34.56402882	81.52308136	2.358610502	1.237937193	0.560925118	1
TK0186	459.5	933.6666667	15910.03333	1412.5	38	500.2328934	567.8376164	432.6281704	0.761887128	-0.392350815	0.810633296	1
TK0187	138.5	252	1498.616667	174	6.5	143.5387575	170.3512849	116.7262301	0.68520898	-0.545384037	0.754861429	1
TK0188	28	140.4242424	153.125	95.6	8.5	49.70596723	34.56402882	64.84790563	1.876167445	0.907788592	0.682698259	1
TK0189	714.5	1106.2	14972	978.4166667	59	696.8405947	881.382735	512.2984545	0.581244032	-0.782784097	0.661708379	1
TK0190	47.5	124.3611111	463.3333333	53	0	58.34466863	59.25262084	57.43671642	0.96935318	-0.044905694	0.96120417	1
TK0191	22.5	62	351	46.66666667	1	27.93790471	27.15745122	28.71835821	1.057476196	0.080625188	1	1
TK0192	66.7	161.6	127.7	144.6166667	14	78.87253703	82.70678325	75.0382908	0.907280973	-0.140378691	0.919384759	1
TK0193	14.83333333	93.83333333	280.8864469	25.41666667	1	31.02859032	18.51644401	43.54073664	2.351463197	1.233558753	0.578911579	1
TK0194	55.5	264.1444444	903.8666667	67.15	14	95.70633985	69.12805764	122.284622	1.768957876	0.822899694	0.705639131	1
TK0195	248	351.4166667	795.1166667	341.5	15	234.3607522	306.138541	162.5829634	0.53107643	-0.913008593	0.61753732	1
TK0196	1.666666667	8.866666667	12.25	5.625	1.375	3.318826567	2.468859202	4.168793933	1.6885507	0.755785498	0.9331267	1
TK0197	10.5	53.57619048	39.44166667	25.66666667	4.761904762	18.6785298	12.34429601	25.0127636	2.02626084	1.018819904	0.673887921	1
TK0198	4.5	19.5	20	12.5	1	7.100852461	4.937718403	9.263986519	1.876167445	0.907788592	0.785305066	1
TK0199	10.5	19.2	89.5	12.33333333	31.16666667	10.5725416	12.34429601	8.800787193	0.712943629	-0.488140085	0.836928849	1
TK0200	33.2	120.1428571	266.1444444	93.5	5.5	48.16004797	40.73617683	55.58391911	1.364485414	0.448356973	0.862299336	1
TK0201	3.5	13	17.66666667	5.333333333	0	5.47965482	4.937718403	6.021591237	1.219508839	0.286300215	1	1
TK0202	6.5	5.5	4.666666667	7	0	5.09288678	7.406577605	2.779195956	0.375233489	-1.414139503	0.600869456	1
TK0203	8	21.9	26.93333333	17.66666667	4	10.03291099	9.875436806	10.19038517	1.031892095	0.045292115	1	1
TK0204	20.33333333	47.83333333	25.61666667	23.5	1.5	23.46107983	24.68859202	22.23356764	0.900560373	-0.151105097	0.935117751	1
